,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
135,"frozenset(['REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER'])",frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.04792332268370607,0.10063897763578275,0.04472843450479233,0.9333333333333333,9.274074074074074,0.03990548030499443,13.490415335463261
87,"frozenset(['REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'])",frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.04472843450479233,0.10063897763578275,0.04153354632587859,0.9285714285714286,9.226757369614512,0.03703212240606722,12.591054313099047
88,"frozenset(['REGENCY CAKESTAND 3 TIER', 'ROSES REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'])",frozenset(['GREEN REGENCY TEACUP AND SAUCER']),0.04472843450479233,0.07827476038338659,0.04153354632587859,0.9285714285714286,11.862973760932945,0.03803243883269197,12.904153354632594
82,frozenset(['PINK REGENCY TEACUP AND SAUCER']),frozenset(['GREEN REGENCY TEACUP AND SAUCER']),0.06389776357827476,0.07827476038338659,0.05910543130990415,0.925,11.81734693877551,0.054103849176780405,12.289669861554854
25,frozenset(['PINK REGENCY TEACUP AND SAUCER']),frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.06389776357827476,0.10063897763578275,0.05910543130990415,0.925,9.191269841269841,0.05267482571017362,11.99148029818957
106,"frozenset(['GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'])",frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.05910543130990415,0.10063897763578275,0.054313099041533544,0.918918918918919,9.130845130845131,0.048364788861782804,11.092119275825352
107,"frozenset(['ROSES REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'])",frozenset(['GREEN REGENCY TEACUP AND SAUCER']),0.05910543130990415,0.07827476038338659,0.054313099041533544,0.918918918918919,11.73965802537231,0.04968663556839408,11.36794462193824
154,"frozenset(['REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER'])",frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.05591054313099041,0.10063897763578275,0.051118210862619806,0.9142857142857143,9.084807256235827,0.04549143096285559,10.492545260915865
22,frozenset(['REGENCY TEA PLATE PINK']),frozenset(['REGENCY TEA PLATE GREEN']),0.03194888178913738,0.036741214057507986,0.02875399361022364,0.9,24.495652173913044,0.027580152905510927,9.632587859424923
221,"frozenset(['PACK OF 60 PINK PAISLEY CAKE CASES', '72 SWEETHEART FAIRY CAKE CASES'])",frozenset(['60 TEATIME FAIRY CAKE CASES']),0.03194888178913738,0.12939297124600638,0.02875399361022364,0.9,6.955555555555557,0.02462003286753973,8.706070287539939
11,"frozenset(['REGENCY TEA PLATE ROSES', 'ROSES REGENCY TEACUP AND SAUCER'])",frozenset(['REGENCY CAKESTAND 3 TIER']),0.03035143769968051,0.22843450479233227,0.027156549520766772,0.8947368421052632,3.91682002208318,0.02022323388010493,7.329872204472844
115,"frozenset(['REGENCY MILK JUG PINK', 'ROSES REGENCY TEACUP AND SAUCER'])",frozenset(['REGENCY SUGAR BOWL GREEN']),0.03035143769968051,0.039936102236421724,0.027156549520766772,0.8947368421052632,22.40421052631579,0.025944431401769948,9.120607028753994
173,frozenset(['REGENCY TEAPOT ROSES']),frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.03035143769968051,0.10063897763578275,0.027156549520766772,0.8947368421052632,8.890559732664995,0.02410201186089477,8.543929712460065
36,"frozenset(['REGENCY CAKESTAND 3 TIER', 'REGENCY SUGAR BOWL GREEN', 'ROSES REGENCY TEACUP AND SAUCER'])",frozenset(['GREEN REGENCY TEACUP AND SAUCER']),0.02875399361022364,0.07827476038338659,0.025559105431309903,0.8888888888888888,11.356009070294784,0.023308393471404218,8.295527156549518
204,"frozenset(['REGENCY SUGAR BOWL GREEN', 'GREEN REGENCY TEACUP AND SAUCER'])",frozenset(['REGENCY CAKESTAND 3 TIER']),0.02875399361022364,0.22843450479233227,0.025559105431309903,0.8888888888888888,3.891219891219891,0.01899070114015658,6.944089456869007
42,"frozenset(['REGENCY SUGAR BOWL GREEN', 'GREEN REGENCY TEACUP AND SAUCER'])","frozenset(['REGENCY CAKESTAND 3 TIER', 'ROSES REGENCY TEACUP AND SAUCER'])",0.02875399361022364,0.0670926517571885,0.025559105431309903,0.8888888888888888,13.248677248677248,0.023629923751390745,8.3961661341853
193,"frozenset(['REGENCY SUGAR BOWL GREEN', 'REGENCY TEAPOT ROSES'])",frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.02875399361022364,0.10063897763578275,0.025559105431309903,0.8888888888888888,8.832451499118164,0.022665332911431166,8.094249201277952
54,"frozenset(['REGENCY TEA PLATE PINK', 'REGENCY TEA PLATE GREEN'])",frozenset(['REGENCY TEA PLATE ROSES']),0.02875399361022364,0.04153354632587859,0.025559105431309903,0.8888888888888888,21.4017094017094,0.024364850105645663,8.62619808306709
169,"frozenset(['REGENCY CAKESTAND 3 TIER', 'REGENCY MILK JUG PINK'])",frozenset(['REGENCY SUGAR BOWL GREEN']),0.02875399361022364,0.039936102236421724,0.025559105431309903,0.8888888888888888,22.25777777777778,0.024410783002786596,8.6405750798722
38,"frozenset(['REGENCY SUGAR BOWL GREEN', 'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'])",frozenset(['REGENCY CAKESTAND 3 TIER']),0.02875399361022364,0.22843450479233227,0.025559105431309903,0.8888888888888888,3.891219891219891,0.01899070114015658,6.944089456869007
131,"frozenset(['REGENCY TEA PLATE PINK', 'REGENCY TEA PLATE GREEN'])",frozenset(['REGENCY CAKESTAND 3 TIER']),0.02875399361022364,0.22843450479233227,0.025559105431309903,0.8888888888888888,3.891219891219891,0.01899070114015658,6.944089456869007
77,"frozenset(['SET/5 RED SPOTTY LID GLASS BOWLS', '60 TEATIME FAIRY CAKE CASES'])",frozenset(['PACK OF 72 RETRO SPOT CAKE CASES']),0.02875399361022364,0.07827476038338659,0.025559105431309903,0.8888888888888888,11.356009070294784,0.023308393471404218,8.295527156549518
31,frozenset(['GREEN REGENCY TEACUP AND SAUCER']),frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.07827476038338659,0.10063897763578275,0.06869009584664537,0.8775510204081632,8.719792678976352,0.06081260398697547,7.344781682641106
84,frozenset(['REGENCY TEA PLATE GREEN']),frozenset(['REGENCY TEA PLATE ROSES']),0.036741214057507986,0.04153354632587859,0.03194888178913738,0.8695652173913043,20.93645484949833,0.03042288887301085,7.3482428115015965
152,frozenset(['REGENCY TEA PLATE GREEN']),frozenset(['REGENCY CAKESTAND 3 TIER']),0.036741214057507986,0.22843450479233227,0.03194888178913738,0.8695652173913043,3.8066281544542413,0.023555920750441467,5.915335463258785
92,"frozenset(['REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER'])","frozenset(['GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'])",0.04792332268370607,0.06869009584664537,0.04153354632587859,0.8666666666666667,12.61705426356589,0.03824168869744511,6.984824281150161
73,"frozenset(['REGENCY SUGAR BOWL GREEN', 'ROSES REGENCY TEACUP AND SAUCER'])",frozenset(['GREEN REGENCY TEACUP AND SAUCER']),0.03354632587859425,0.07827476038338659,0.02875399361022364,0.8571428571428571,10.950437317784255,0.026128162990333676,6.452076677316292
224,"frozenset(['REGENCY CAKESTAND 3 TIER', 'REGENCY SUGAR BOWL GREEN'])",frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.03354632587859425,0.10063897763578275,0.02875399361022364,0.8571428571428571,8.517006802721088,0.025377925670365113,6.295527156549518
226,"frozenset(['REGENCY SUGAR BOWL GREEN', 'ROSES REGENCY TEACUP AND SAUCER'])",frozenset(['REGENCY CAKESTAND 3 TIER']),0.03354632587859425,0.22843450479233227,0.02875399361022364,0.8571428571428571,3.752247752247752,0.021090855270544762,5.400958466453672
1,frozenset(['RED RETROSPOT SUGAR JAM BOWL']),frozenset(['RED RETROSPOT SMALL MILK JUG']),0.03354632587859425,0.03514376996805112,0.02875399361022364,0.8571428571428571,24.38961038961039,0.027575049250273043,6.75399361022364
101,"frozenset(['REGENCY CAKESTAND 3 TIER', 'REGENCY TEA PLATE GREEN'])",frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.03194888178913738,0.10063897763578275,0.027156549520766772,0.85,8.446031746031746,0.023941246720901508,5.995740149094781
110,frozenset(['PINK REGENCY TEACUP AND SAUCER']),"frozenset(['GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'])",0.06389776357827476,0.06869009584664537,0.054313099041533544,0.85,12.374418604651162,0.04992395553695556,6.208732694355696
113,"frozenset(['REGENCY SUGAR BOWL GREEN', 'REGENCY MILK JUG PINK'])",frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.03194888178913738,0.10063897763578275,0.027156549520766772,0.85,8.446031746031746,0.023941246720901508,5.995740149094781
70,frozenset(['REGENCY TEA PLATE PINK']),frozenset(['REGENCY TEA PLATE ROSES']),0.03194888178913738,0.04153354632587859,0.027156549520766772,0.85,20.465384615384615,0.025829599158917617,6.3897763578274756
46,"frozenset(['REGENCY CAKESTAND 3 TIER', 'REGENCY TEA PLATE ROSES'])",frozenset(['REGENCY TEA PLATE GREEN']),0.03194888178913738,0.036741214057507986,0.027156549520766772,0.85,23.13478260869565,0.025982708816054058,6.421725239616612
47,"frozenset(['REGENCY CAKESTAND 3 TIER', 'REGENCY TEA PLATE GREEN'])",frozenset(['REGENCY TEA PLATE ROSES']),0.03194888178913738,0.04153354632587859,0.027156549520766772,0.85,20.465384615384615,0.025829599158917617,6.3897763578274756
48,"frozenset(['REGENCY TEA PLATE ROSES', 'REGENCY TEA PLATE GREEN'])",frozenset(['REGENCY CAKESTAND 3 TIER']),0.03194888178913738,0.22843450479233227,0.027156549520766772,0.85,3.720979020979021,0.01985832253059641,5.143769968051117
10,"frozenset(['REGENCY CAKESTAND 3 TIER', 'REGENCY TEA PLATE ROSES'])",frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.03194888178913738,0.10063897763578275,0.027156549520766772,0.85,8.446031746031746,0.023941246720901508,5.995740149094781
78,"frozenset(['SET/5 RED SPOTTY LID GLASS BOWLS', 'PACK OF 72 RETRO SPOT CAKE CASES'])",frozenset(['60 TEATIME FAIRY CAKE CASES']),0.03035143769968051,0.12939297124600638,0.025559105431309903,0.8421052631578947,6.508122157244965,0.02163184272576019,5.513844515441958
119,"frozenset(['REGENCY MILK JUG PINK', 'ROSES REGENCY TEACUP AND SAUCER'])",frozenset(['PINK REGENCY TEACUP AND SAUCER']),0.03035143769968051,0.06389776357827476,0.025559105431309903,0.8421052631578947,13.178947368421053,0.023619716440914984,5.928647497337592
215,"frozenset(['REGENCY MILK JUG PINK', 'ROSES REGENCY TEACUP AND SAUCER'])",frozenset(['GREEN REGENCY TEACUP AND SAUCER']),0.03035143769968051,0.07827476038338659,0.025559105431309903,0.8421052631578947,10.758324382384531,0.023183353918076126,5.83759318423855
197,frozenset(['REGENCY TEAPOT ROSES']),"frozenset(['REGENCY SUGAR BOWL GREEN', 'ROSES REGENCY TEACUP AND SAUCER'])",0.03035143769968051,0.03354632587859425,0.025559105431309903,0.8421052631578947,25.102756892230577,0.02454092621135257,6.120873269435568
51,frozenset(['RED KITCHEN SCALES']),frozenset(['IVORY KITCHEN SCALES']),0.06070287539936102,0.08626198083067092,0.051118210862619806,0.8421052631578947,9.762183235867447,0.04588186058855352,5.787007454739082
28,frozenset(['REGENCY SUGAR BOWL GREEN']),frozenset(['REGENCY CAKESTAND 3 TIER']),0.039936102236421724,0.22843450479233227,0.03354632587859425,0.84,3.677202797202797,0.0244235421408813,4.8222843450479225
161,frozenset(['REGENCY SUGAR BOWL GREEN']),frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.039936102236421724,0.10063897763578275,0.03354632587859425,0.84,8.346666666666666,0.02952719737876267,5.6210063897763565
0,frozenset(['RED RETROSPOT SMALL MILK JUG']),frozenset(['RED RETROSPOT SUGAR JAM BOWL']),0.03514376996805112,0.03354632587859425,0.02875399361022364,0.8181818181818182,24.389610389610393,0.027575049250273043,5.315495207667733
86,"frozenset(['REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'])",frozenset(['PINK REGENCY TEACUP AND SAUCER']),0.051118210862619806,0.06389776357827476,0.04153354632587859,0.8125,12.715625000000001,0.03826720697363452,4.992545260915868
182,"frozenset(['REGENCY SUGAR BOWL GREEN', 'ROSES REGENCY TEACUP AND SAUCER'])",frozenset(['PINK REGENCY TEACUP AND SAUCER']),0.03354632587859425,0.06389776357827476,0.027156549520766772,0.8095238095238095,12.66904761904762,0.0250130143208566,4.914536741214058
2,"frozenset(['RED KITCHEN SCALES', 'REGENCY CAKESTAND 3 TIER'])",frozenset(['IVORY KITCHEN SCALES']),0.03354632587859425,0.08626198083067092,0.027156549520766772,0.8095238095238095,9.384479717813052,0.024262777000888035,4.797124600638978
114,"frozenset(['REGENCY SUGAR BOWL GREEN', 'ROSES REGENCY TEACUP AND SAUCER'])",frozenset(['REGENCY MILK JUG PINK']),0.03354632587859425,0.039936102236421724,0.027156549520766772,0.8095238095238095,20.27047619047619,0.025816840020822913,5.040335463258786
29,frozenset(['LARGE POPCORN HOLDER']),frozenset(['SMALL POPCORN HOLDER']),0.04153354632587859,0.054313099041533544,0.03354632587859425,0.8076923076923077,14.871040723981901,0.031290510263450685,4.917571884984026
104,frozenset(['RED HANGING HEART T-LIGHT HOLDER']),frozenset(['WHITE HANGING HEART T-LIGHT HOLDER']),0.05750798722044728,0.1389776357827476,0.0463258785942492,0.8055555555555556,5.796296296296297,0.03833355449172697,4.428115015974441
208,frozenset(['REGENCY TEA PLATE PINK']),frozenset(['REGENCY CAKESTAND 3 TIER']),0.03194888178913738,0.22843450479233227,0.025559105431309903,0.8,3.502097902097902,0.018260878441139543,3.8578274760383393
130,"frozenset(['REGENCY CAKESTAND 3 TIER', 'REGENCY TEA PLATE GREEN'])",frozenset(['REGENCY TEA PLATE PINK']),0.03194888178913738,0.03194888178913738,0.025559105431309903,0.8,25.040000000000003,0.02453837438373363,4.840255591054314
132,frozenset(['REGENCY TEA PLATE PINK']),"frozenset(['REGENCY CAKESTAND 3 TIER', 'REGENCY TEA PLATE GREEN'])",0.03194888178913738,0.03194888178913738,0.025559105431309903,0.8,25.040000000000003,0.02453837438373363,4.840255591054314
26,frozenset(['REGENCY SUGAR BOWL GREEN']),frozenset(['REGENCY MILK JUG PINK']),0.039936102236421724,0.039936102236421724,0.03194888178913738,0.8,20.032000000000004,0.030353989527299452,4.800319488817892
27,frozenset(['REGENCY MILK JUG PINK']),frozenset(['REGENCY SUGAR BOWL GREEN']),0.039936102236421724,0.039936102236421724,0.03194888178913738,0.8,20.032000000000004,0.030353989527299452,4.800319488817892
189,frozenset(['REGENCY TEA PLATE PINK']),frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.03194888178913738,0.10063897763578275,0.025559105431309903,0.8,7.949206349206349,0.02234380263144464,4.496805111821087
170,"frozenset(['REGENCY SUGAR BOWL GREEN', 'REGENCY MILK JUG PINK'])",frozenset(['REGENCY CAKESTAND 3 TIER']),0.03194888178913738,0.22843450479233227,0.025559105431309903,0.8,3.502097902097902,0.018260878441139543,3.8578274760383393
55,"frozenset(['REGENCY TEA PLATE ROSES', 'REGENCY TEA PLATE GREEN'])",frozenset(['REGENCY TEA PLATE PINK']),0.03194888178913738,0.03194888178913738,0.025559105431309903,0.8,25.040000000000003,0.02453837438373363,4.840255591054314
56,frozenset(['REGENCY TEA PLATE PINK']),"frozenset(['REGENCY TEA PLATE ROSES', 'REGENCY TEA PLATE GREEN'])",0.03194888178913738,0.03194888178913738,0.025559105431309903,0.8,25.040000000000003,0.02453837438373363,4.840255591054314
174,"frozenset(['REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER'])",frozenset(['PINK REGENCY TEACUP AND SAUCER']),0.05591054313099041,0.06389776357827476,0.04472843450479233,0.8,12.520000000000001,0.041155875838275374,4.680511182108628
143,frozenset(['EDWARDIAN PARASOL RED']),frozenset(['EDWARDIAN PARASOL BLACK']),0.0463258785942492,0.05910543130990415,0.036741214057507986,0.7931034482758621,13.418452935694317,0.03400310302238463,4.5476570820021305
105,"frozenset(['GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'])",frozenset(['PINK REGENCY TEACUP AND SAUCER']),0.06869009584664537,0.06389776357827476,0.054313099041533544,0.7906976744186046,12.374418604651163,0.04992395553695556,4.472488462903798
23,frozenset(['REGENCY TEA PLATE GREEN']),frozenset(['REGENCY TEA PLATE PINK']),0.036741214057507986,0.03194888178913738,0.02875399361022364,0.782608695652174,24.495652173913047,0.027580152905510927,4.453035143769969
83,frozenset(['REGENCY TEA PLATE ROSES']),frozenset(['REGENCY TEA PLATE GREEN']),0.04153354632587859,0.036741214057507986,0.03194888178913738,0.7692307692307693,20.93645484949833,0.03042288887301085,4.1741214057508
206,frozenset(['REGENCY TEA PLATE ROSES']),frozenset(['REGENCY CAKESTAND 3 TIER']),0.04153354632587859,0.22843450479233227,0.03194888178913738,0.7692307692307693,3.3674018289402907,0.022461186701915912,3.343450479233227
89,"frozenset(['GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'])",frozenset(['REGENCY CAKESTAND 3 TIER']),0.054313099041533544,0.22843450479233227,0.04153354632587859,0.7647058823529411,3.3475935828877,0.029126560442588982,3.279153354632587
39,"frozenset(['REGENCY CAKESTAND 3 TIER', 'REGENCY SUGAR BOWL GREEN'])","frozenset(['GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'])",0.03354632587859425,0.06869009584664537,0.025559105431309903,0.7619047619047619,11.091915836101881,0.023254805091406466,3.9115015974440883
194,"frozenset(['REGENCY SUGAR BOWL GREEN', 'ROSES REGENCY TEACUP AND SAUCER'])",frozenset(['REGENCY TEAPOT ROSES']),0.03354632587859425,0.03035143769968051,0.025559105431309903,0.7619047619047619,25.102756892230577,0.02454092621135257,4.072523961661341
155,"frozenset(['REGENCY CAKESTAND 3 TIER', 'ROSES REGENCY TEACUP AND SAUCER'])",frozenset(['GREEN REGENCY TEACUP AND SAUCER']),0.0670926517571885,0.07827476038338659,0.051118210862619806,0.7619047619047619,9.73372206025267,0.045866549622839876,3.871246006389776
202,"frozenset(['REGENCY CAKESTAND 3 TIER', 'REGENCY SUGAR BOWL GREEN'])",frozenset(['GREEN REGENCY TEACUP AND SAUCER']),0.03354632587859425,0.07827476038338659,0.025559105431309903,0.7619047619047619,9.73372206025267,0.022933274811419938,3.871246006389776
168,"frozenset(['REGENCY CAKESTAND 3 TIER', 'REGENCY SUGAR BOWL GREEN'])",frozenset(['REGENCY MILK JUG PINK']),0.03354632587859425,0.039936102236421724,0.025559105431309903,0.7619047619047619,19.078095238095237,0.024219395931366045,4.032268370607028
43,"frozenset(['REGENCY SUGAR BOWL GREEN', 'ROSES REGENCY TEACUP AND SAUCER'])","frozenset(['REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER'])",0.03354632587859425,0.05591054313099041,0.025559105431309903,0.7619047619047619,13.627210884353742,0.0236835121313885,3.9651757188498395
148,frozenset(['REGENCY MILK JUG PINK']),frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.039936102236421724,0.10063897763578275,0.03035143769968051,0.76,7.551746031746031,0.02633230919984893,3.7473375931842385
163,"frozenset([""YOU'RE CONFUSING ME METAL SIGN""])",frozenset(['COOK WITH WINE METAL SIGN']),0.039936102236421724,0.07507987220447285,0.03035143769968051,0.76,10.122553191489361,0.027353040247425204,3.8538338658146967
176,"frozenset(['GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'])",frozenset(['REGENCY CAKESTAND 3 TIER']),0.05910543130990415,0.22843450479233227,0.04472843450479233,0.7567567567567568,3.312795312795313,0.031226714572977165,3.17199148029819
136,"frozenset(['ROSES REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'])",frozenset(['REGENCY CAKESTAND 3 TIER']),0.05910543130990415,0.22843450479233227,0.04472843450479233,0.7567567567567568,3.312795312795313,0.031226714572977165,3.17199148029819
81,frozenset(['GREEN REGENCY TEACUP AND SAUCER']),frozenset(['PINK REGENCY TEACUP AND SAUCER']),0.07827476038338659,0.06389776357827476,0.05910543130990415,0.7551020408163265,11.81734693877551,0.054103849176780405,3.822417465388711
6,frozenset(['PINK REGENCY TEACUP AND SAUCER']),frozenset(['REGENCY CAKESTAND 3 TIER']),0.06389776357827476,0.22843450479233227,0.04792332268370607,0.75,3.2832167832167833,0.03332686870336535,3.086261980830671
156,"frozenset(['GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'])",frozenset(['REGENCY CAKESTAND 3 TIER']),0.06869009584664537,0.22843450479233227,0.051118210862619806,0.7441860465116278,3.2577654903236293,0.03542702283375353,3.0161196630845177
90,"frozenset(['REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER'])","frozenset(['ROSES REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'])",0.05591054313099041,0.05910543130990415,0.04153354632587859,0.7428571428571429,12.568339768339769,0.03822892955935041,3.6590344337948175
50,frozenset(['REGENCY TEA PLATE GREEN']),"frozenset(['REGENCY CAKESTAND 3 TIER', 'REGENCY TEA PLATE ROSES'])",0.036741214057507986,0.03194888178913738,0.027156549520766772,0.7391304347826086,23.13478260869565,0.025982708816054058,3.710862619808306
103,frozenset(['REGENCY TEA PLATE GREEN']),"frozenset(['REGENCY CAKESTAND 3 TIER', 'ROSES REGENCY TEACUP AND SAUCER'])",0.036741214057507986,0.0670926517571885,0.027156549520766772,0.7391304347826086,11.01656314699793,0.02469148404087007,3.5761448349307767
118,frozenset(['REGENCY TEA PLATE GREEN']),frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.036741214057507986,0.10063897763578275,0.027156549520766772,0.7391304347826086,7.344375431331953,0.02345895130092172,3.447550585729499
223,frozenset(['REGENCY TEA PLATE ROSES']),frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.04153354632587859,0.10063897763578275,0.03035143769968051,0.7307692307692307,7.26129426129426,0.026171544059855667,3.3404837973528063
75,frozenset(['REGENCY SUGAR BOWL GREEN']),"frozenset(['GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'])",0.039936102236421724,0.06869009584664537,0.02875399361022364,0.72,10.481860465116277,0.026010778919862403,3.3261068005476946
18,frozenset(['REGENCY MILK JUG PINK']),frozenset(['REGENCY CAKESTAND 3 TIER']),0.039936102236421724,0.22843450479233227,0.02875399361022364,0.72,3.1518881118881117,0.019631209872510692,2.755591054313099
62,frozenset(['SET OF 36 TEATIME PAPER DOILIES']),frozenset(['REGENCY CAKESTAND 3 TIER']),0.039936102236421724,0.22843450479233227,0.02875399361022364,0.72,3.1518881118881117,0.019631209872510692,2.755591054313099
227,frozenset(['REGENCY SUGAR BOWL GREEN']),"frozenset(['REGENCY CAKESTAND 3 TIER', 'ROSES REGENCY TEACUP AND SAUCER'])",0.039936102236421724,0.0670926517571885,0.02875399361022364,0.72,10.731428571428571,0.02607457461033592,3.3318119580100407
145,frozenset(['REGENCY SUGAR BOWL GREEN']),frozenset(['GREEN REGENCY TEACUP AND SAUCER']),0.039936102236421724,0.07827476038338659,0.02875399361022364,0.72,9.198367346938774,0.0256280047770213,3.291875855773619
199,frozenset(['REGENCY SUGAR BOWL GREEN']),frozenset(['REGENCY TEAPOT ROSES']),0.039936102236421724,0.03035143769968051,0.02875399361022364,0.72,23.722105263157896,0.027541875491226817,3.463030579643998
164,frozenset(['GREEN REGENCY TEACUP AND SAUCER']),frozenset(['REGENCY CAKESTAND 3 TIER']),0.07827476038338659,0.22843450479233227,0.05591054313099041,0.7142857142857142,3.1268731268731265,0.03802988700507303,2.700479233226836
95,"frozenset(['ROSES REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'])","frozenset(['REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER'])",0.05910543130990415,0.05591054313099041,0.04153354632587859,0.7027027027027027,12.56833976833977,0.03822892955935041,3.1755736276503055
